,adc,jg,mid,supp,top,win
933,18,5,38,1,23,False
934,202,121,13,37,31,True
935,222,59,163,53,48,True
936,202,11,101,12,516,False
937,202,141,161,37,64,True
938,21,77,117,53,17,False
939,110,19,67,161,122,False
940,18,36,34,223,150,True
941,18,203,238,16,23,True
942,498,19,38,89,39,False
943,21,33,99,16,516,False
944,202,106,238,143,80,True
945,119,9,99,25,41,False
946,202,254,30,111,150,True
947,51,56,34,25,23,True
948,202,57,105,111,58,False
949,67,113,115,89,122,True
950,21,35,105,223,516,False
951,236,141,238,89,59,True
952,18,106,61,37,58,False
953,21,19,61,267,98,True
954,110,11,42,40,23,False
955,21,32,103,25,27,True
956,498,19,99,412,79,False
957,29,79,157,161,41,True
958,22,102,63,16,114,False
959,67,122,43,3,10,True
960,18,9,13,412,75,False
961,29,131,112,40,58,True
962,18,11,134,201,54,True
963,22,20,69,53,48,False
964,67,203,99,89,79,True
965,119,5,38,497,58,False
966,21,31,141,53,85,False
967,96,516,245,117,157,True
968,18,19,69,44,126,False
969,21,11,1,40,91,True
970,22,32,1,53,141,False
971,18,254,25,497,79,True
972,29,141,31,44,27,True
973,22,19,157,89,111,False
974,119,24,1,53,14,True
975,222,64,45,497,23,False
976,429,104,81,497,516,False
977,18,113,90,99,54,True
978,18,33,90,412,8,True
979,498,141,4,111,57,True
980,236,32,41,43,92,False
981,236,92,4,37,122,True
982,110,5,245,40,80,False
983,18,24,99,143,48,False
984,22,113,245,16,23,True
985,429,266,157,412,17,True
986,18,79,61,90,126,True
987,21,421,238,26,10,False
988,498,24,45,26,516,False
989,22,56,85,44,58,True
990,29,141,4,53,17,True
991,21,111,34,89,11,False
