,champ0,champ1,champ2,champ3,champ4,win
954,157,16,163,222,121,False
955,60,90,59,44,96,True
956,143,19,67,74,497,True
957,105,498,17,112,33,False
958,96,412,81,26,157,False
959,61,105,110,89,64,True
960,516,105,81,75,412,True
961,63,17,110,112,121,False
962,28,238,58,429,37,False
963,17,18,40,55,254,True
964,59,85,28,111,222,True
965,24,112,21,89,86,False
966,238,164,29,266,412,False
967,18,267,102,23,90,True
968,53,98,105,28,67,True
969,114,89,161,64,222,False
970,121,17,161,29,497,True
971,63,23,19,67,1,False
972,29,3,1,11,516,True
973,77,31,69,89,119,False
974,120,18,99,68,14,False
975,240,31,21,89,238,True
976,17,37,50,36,18,False
977,429,54,19,40,41,True
978,222,254,111,17,55,True
979,90,64,117,236,240,False
980,17,131,62,44,202,False
981,236,99,141,134,86,True
982,79,516,236,105,37,False
983,40,141,17,103,81,True
984,90,6,44,33,21,False
985,157,268,236,111,60,True
986,202,143,90,104,150,False
987,201,222,45,24,59,True
988,63,22,17,20,57,False
989,141,161,3,23,18,True
